Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1032950,-113854,-107823,40575,316985,166345,-114086,227742,-118467,-114138,66397,232842,40342
1032951,-113866,-107824,40579,316951,166354,-114115,227802,-118470,-114168,66374,232713,40348
1032952,-113898,-107841,40546,316978,166316,-114116,227819,-118482,-114169,66377,232629,40314
1032953,-113943,-107864,40525,316991,166260,-114173,227715,-118529,-114227,66285,232690,40290
1032954,-113992,-107893,40470,316952,166249,-114229,227683,-118567,-114282,66226,232715,40234
1032955,-114041,-107917,40415,316906,166176,-114244,227615,-118594,-114296,66205,232785,40179
1032956,-114130,-107939,40391,316875,166103,-114253,227514,-118589,-114308,66254,232800,40157
1032957,-114195,-107949,40360,316797,166007,-114251,227484,-118588,-114307,66274,232834,40125
1032958,-114219,-107975,40296,316717,165963,-114253,227530,-118579,-114303,66275,232883,40062
1032959,-114197,-108000,40253,316704,166016,-114281,227513,-118591,-114337,66230,232893,40017
1032960,-114146,-108007,40239,316740,166026,-114295,227517,-118603,-114349,66211,232879,40006
1032961,-114107,-108000,40257,316811,165972,-114312,227568,-118598,-114365,66232,232794,40023
1032962,-114075,-107967,40302,316824,165900,-114323,227579,-118599,-114377,66283,232803,40065
1032963,-114013,-107957,40348,316769,165808,-114288,227600,-118551,-114340,66292,232880,40110
1032964,-113947,-107933,40403,316729,165815,-114236,227551,-118495,-114288,66280,232960,40170
1032965,-113905,-107923,40430,316751,165881,-114219,227439,-118491,-114274,66329,233051,40195
1032966,-113900,-107929,40418,316810,166039,-114204,227490,-118471,-114254,66338,233047,40181
1032967,-113880,-107910,40440,316885,166144,-114151,227556,-118442,-114206,66325,233004,40203
1032968,-113850,-107876,40493,316974,166150,-114107,227652,-118418,-114158,66295,232864,40261
1032969,-113822,-107849,40529,316990,166129,-114060,227701,-118379,-114112,66338,232753,40292
1032970,-113819,-107871,40516,316985,166091,-114064,227788,-118400,-114117,66366,232835,40281
1032971,-113865,-107910,40483,316982,166100,-114087,227842,-118446,-114140,66411,232862,40248
1032972,-113896,-107899,40477,316963,166026,-114113,227796,-118466,-114169,66402,232862,40237
1032973,-113918,-107917,40418,316937,166031,-114186,227742,-118518,-114239,66341,232921,40180
1032974,-113958,-107959,40365,316858,166063,-114235,227620,-118567,-114288,66330,233023,40130
1032975,-113996,-107994,40320,316783,165995,-114280,227600,-118575,-114333,66339,233013,40082
1032976,-114039,-108013,40296,316757,165978,-114293,227565,-118590,-114346,66323,232985,40061
1032977,-114097,-108038,40281,316770,165957,-114310,227541,-118613,-114362,66277,232925,40043
1032978,-114098,-108027,40281,316785,165976,-114306,227510,-118635,-114361,66229,232843,40044
1032979,-114109,-108035,40304,316777,165976,-114314,227478,-118653,-114368,66199,232778,40068
